Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-02,10,Battlestar Galactica: CYLON,Sci-Fi City,5.0,109
2024-01-02,10,Battlestar Galactica: HUMAN,Sci-Fi City,5.0,69
2024-01-02,10,Canopy Flyer,The Lost World,5.0,44
2024-01-02,10,Dino-Soarin,The Lost World,5.0,72
2024-01-02,10,Enchanted Airways,Far Far Away,5.0,79
2024-01-02,10,Jurassic Park Rapids Adventure,The Lost World,5.0,36
2024-01-02,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,213
2024-01-02,10,Magic Potion Spin,Far Far Away,5.0,30
2024-01-02,10,Puss In Boots’ Giant Journey,Far Far Away,5.0,93
2024-01-02,10,Revenge of the Mummy,Ancient Egypt,5.0,132
2024-01-02,10,Sesame Street Spaghetti Space Chase,New York,17.5,195
2024-01-02,10,Shrek 4-D Adventure,Far Far Away,20.0,484
2024-01-02,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,321
2024-01-02,10,Treasure Hunters,Ancient Egypt,5.833333333333333,19
2024-01-02,11,Accelerator,Sci-Fi City,5.0,46
2024-01-02,11,Battlestar Galactica: CYLON,Sci-Fi City,40.0,1974
2024-01-02,11,Battlestar Galactica: HUMAN,Sci-Fi City,19.583333333333332,645
2024-01-02,11,Canopy Flyer,The Lost World,22.083333333333332,182
2024-01-02,11,Dino-Soarin,The Lost World,8.75,78
2024-01-02,11,Enchanted Airways,Far Far Away,5.0,79
2024-01-02,11,Jurassic Park Rapids Adventure,The Lost World,7.916666666666667,49
2024-01-02,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,189
2024-01-02,11,Magic Potion Spin,Far Far Away,5.0,17
2024-01-02,11,Puss In Boots’ Giant Journey,Far Far Away,7.5,57
2024-01-02,11,Revenge of the Mummy,Ancient Egypt,5.0,67
2024-01-02,11,Sesame Street Spaghetti Space Chase,New York,38.333333333333336,436
2024-01-02,11,Shrek 4-D Adventure,Far Far Away,20.0,487
2024-01-02,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,36.666666666666664,1405
2024-01-02,11,Treasure Hunters,Ancient Egypt,27.5,312
2024-01-02,12,Accelerator,Sci-Fi City,16.666666666666668,277
2024-01-02,12,Battlestar Galactica: CYLON,Sci-Fi City,45.0,889
2024-01-02,12,Battlestar Galactica: HUMAN,Sci-Fi City,55.0,1168
2024-01-02,12,Canopy Flyer,The Lost World,40.0,840
2024-01-02,12,Dino-Soarin,The Lost World,23.333333333333332,113
2024-01-02,12,Enchanted Airways,Far Far Away,5.0,70
2024-01-02,12,Jurassic Park Rapids Adventure,The Lost World,25.0,202
2024-01-02,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,385
2024-01-02,12,Magic Potion Spin,Far Far Away,5.0,24
2024-01-02,12,Puss In Boots’ Giant Journey,Far Far Away,30.833333333333332,676
2024-01-02,12,Revenge of the Mummy,Ancient Egypt,8.75,102
2024-01-02,12,Sesame Street Spaghetti Space Chase,New York,20.0,350
2024-01-02,12,Shrek 4-D Adventure,Far Far Away,20.0,331
2024-01-02,12,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,65.0,2758
2024-01-02,12,Treasure Hunters,Ancient Egypt,30.0,159
2024-01-02,13,Accelerator,Sci-Fi City,20.0,275
2024-01-02,13,Battlestar Galactica: CYLON,Sci-Fi City,45.0,1548
2024-01-02,13,Battlestar Galactica: HUMAN,Sci-Fi City,70.0,3174
2024-01-02,13,Canopy Flyer,The Lost World,35.833333333333336,385
2024-01-02,13,Dino-Soarin,The Lost World,14.583333333333334,276
2024-01-02,13,Enchanted Airways,Far Far Away,5.0,48
2024-01-02,13,Jurassic Park Rapids Adventure,The Lost World,30.0,109
2024-01-02,13,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,299
2024-01-02,13,Magic Potion Spin,Far Far Away,5.0,7
2024-01-02,13,Puss In Boots’ Giant Journey,Far Far Away,30.0,167
2024-01-02,13,Revenge of the Mummy,Ancient Egypt,20.0,388
2024-01-02,13,Sesame Street Spaghetti Space Chase,New York,27.916666666666668,170
2024-01-02,13,Shrek 4-D Adventure,Far Far Away,20.0,412
2024-01-02,13,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,22.916666666666668,681
2024-01-02,13,Treasure Hunters,Ancient Egypt,40.0,387
2024-01-02,14,Accelerator,Sci-Fi City,10.833333333333334,149
2024-01-02,14,Battlestar Galactica: CYLON,Sci-Fi City,63.333333333333336,2977
2024-01-02,14,Battlestar Galactica: HUMAN,Sci-Fi City,29.583333333333332,178
