Date,24h_time,Ride_name,Zone_name,Wait_time,Visitor_count
2/1/24,18,Jurassic Park Rapids Adventure,The Lost World,5,46
2/1/24,18,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,188
2/1/24,18,Magic Potion Spin,Far Far Away,5,60
2/1/24,18,Puss In Boots’ Giant Journey,Far Far Away,17.5,140
2/1/24,18,Revenge of the Mummy,Ancient Egypt,5,22
2/1/24,18,Shrek 4-D Adventure,Far Far Away,20,306
2/1/24,18,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,34
2/1/24,18,Treasure Hunters,Ancient Egypt,26.666666666666668,315
2/1/24,19,Accelerator,Sci-Fi City,0,27
2/1/24,19,Battlestar Galactica: CYLON,Sci-Fi City,0,141
2/1/24,19,Battlestar Galactica: HUMAN,Sci-Fi City,0,76
2/1/24,19,Canopy Flyer,The Lost World,0,48
2/1/24,19,Dino-Soarin,The Lost World,0,14
2/1/24,19,Enchanted Airways,Far Far Away,0,93
2/1/24,19,Jurassic Park Rapids Adventure,The Lost World,0,18
2/1/24,19,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,0,91
2/1/24,19,Magic Potion Spin,Far Far Away,0,17
2/1/24,19,Puss In Boots’ Giant Journey,Far Far Away,0,63
2/1/24,19,Revenge of the Mummy,Ancient Egypt,0,123
2/1/24,19,Shrek 4-D Adventure,Far Far Away,0,99
2/1/24,19,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,0,39
2/1/24,19,Treasure Hunters,Ancient Egypt,0,8
3/1/24,10,Accelerator,Sci-Fi City,5,43
3/1/24,10,Battlestar Galactica: CYLON,Sci-Fi City,21.25,601
3/1/24,10,Battlestar Galactica: HUMAN,Sci-Fi City,20,340
3/1/24,10,Canopy Flyer,The Lost World,5.833333333333333,29
3/1/24,10,Dino-Soarin,The Lost World,10,22
3/1/24,10,Enchanted Airways,Far Far Away,5,79
3/1/24,10,Jurassic Park Rapids Adventure,The Lost World,5,93
3/1/24,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,103
3/1/24,10,Magic Potion Spin,Far Far Away,5,26
3/1/24,10,Puss In Boots’ Giant Journey,Far Far Away,5,19
3/1/24,10,Revenge of the Mummy,Ancient Egypt,5,24
3/1/24,10,Sesame Street Spaghetti Space Chase,New York,21,182
3/1/24,10,Shrek 4-D Adventure,Far Far Away,20,561
3/1/24,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,289
3/1/24,10,Treasure Hunters,Ancient Egypt,11.25,244
3/1/24,11,Accelerator,Sci-Fi City,5,23
3/1/24,11,Battlestar Galactica: CYLON,Sci-Fi City,30,330
3/1/24,11,Battlestar Galactica: HUMAN,Sci-Fi City,44.166666666666664,831
3/1/24,11,Canopy Flyer,The Lost World,15,156
3/1/24,11,Dino-Soarin,The Lost World,10,99
3/1/24,11,Enchanted Airways,Far Far Away,5,133
3/1/24,11,Jurassic Park Rapids Adventure,The Lost World,10,37
3/1/24,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,356
3/1/24,11,Magic Potion Spin,Far Far Away,5,13
3/1/24,11,Puss In Boots’ Giant Journey,Far Far Away,10,39
3/1/24,11,Revenge of the Mummy,Ancient Egypt,8.75,48
3/1/24,11,Sesame Street Spaghetti Space Chase,New York,30,270
3/1/24,11,Shrek 4-D Adventure,Far Far Away,20,183
3/1/24,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,20,178
3/1/24,11,Treasure Hunters,Ancient Egypt,20,310
3/1/24,12,Accelerator,Sci-Fi City,5,22
3/1/24,12,Battlestar Galactica: CYLON,Sci-Fi City,30.833333333333332,1143
3/1/24,12,Battlestar Galactica: HUMAN,Sci-Fi City,60,1212
3/1/24,12,Canopy Flyer,The Lost World,33.75,945
3/1/24,12,Dino-Soarin,The Lost World,18.75,247
3/1/24,12,Enchanted Airways,Far Far Away,13.333333333333334,415
3/1/24,12,Jurassic Park Rapids Adventure,The Lost World,18.333333333333332,349
3/1/24,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,444
3/1/24,12,Magic Potion Spin,Far Far Away,5,43
3/1/24,12,Puss In Boots’ Giant Journey,Far Far Away,25.454545454545453,316
3/1/24,12,Revenge of the Mummy,Ancient Egypt,8.75,60
3/1/24,12,Sesame Street Spaghetti Space Chase,New York,10.416666666666666,305
3/1/24,12,Shrek 4-D Adventure,Far Far Away,20,541
3/1/24,12,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,40,846
3/1/24,12,Treasure Hunters,Ancient Egypt,35,721
3/1/24,13,Accelerator,Sci-Fi City,5,53
3/1/24,13,Battlestar Galactica: CYLON,Sci-Fi City,40,1885
3/1/24,13,Battlestar Galactica: HUMAN,Sci-Fi City,46.666666666666664,1917
3/1/24,13,Canopy Flyer,The Lost World,40,1024
3/1/24,13,Dino-Soarin,The Lost World,20,307
3/1/24,13,Enchanted Airways,Far Far Away,14.166666666666666,597
3/1/24,13,Jurassic Park Rapids Adventure,The Lost World,30,145
3/1/24,13,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,273
3/1/24,13,Magic Potion Spin,Far Far Away,5,66
3/1/24,13,Puss In Boots’ Giant Journey,Far Far Away,44.285714285714285,536
3/1/24,13,Revenge of the Mummy,Ancient Egypt,12.5,720
3/1/24,13,Sesame Street Spaghetti Space Chase,New York,14.583333333333334,184
3/1/24,13,Shrek 4-D Adventure,Far Far Away,20,376
3/1/24,13,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,28.333333333333332,480
3/1/24,13,Treasure Hunters,Ancient Egypt,29.583333333333332,135
3/1/24,14,Accelerator,Sci-Fi City,5,67
3/1/24,14,Battlestar Galactica: CYLON,Sci-Fi City,28.333333333333332,571
3/1/24,14,Battlestar Galactica: HUMAN,Sci-Fi City,40,1606
3/1/24,14,Canopy Flyer,The Lost World,40,535
3/1/24,14,Dino-Soarin,The Lost World,33.333333333333336,931
3/1/24,14,Enchanted Airways,Far Far Away,15,427
3/1/24,14,Jurassic Park Rapids Adventure,The Lost World,30,303
3/1/24,14,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,455
3/1/24,14,Magic Potion Spin,Far Far Away,5,51
3/1/24,14,Puss In Boots’ Giant Journey,Far Far Away,40,1339
3/1/24,14,Revenge of the Mummy,Ancient Egypt,15,535
3/1/24,14,Sesame Street Spaghetti Space Chase,New York,9.166666666666666,42
3/1/24,14,Shrek 4-D Adventure,Far Far Away,20,696
3/1/24,14,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,14.166666666666666,616
3/1/24,14,Treasure Hunters,Ancient Egypt,36.25,468
3/1/24,15,Accelerator,Sci-Fi City,5,58
3/1/24,15,Battlestar Galactica: CYLON,Sci-Fi City,16.25,699
3/1/24,15,Battlestar Galactica: HUMAN,Sci-Fi City,31.666666666666668,2068
3/1/24,15,Canopy Flyer,The Lost World,23.75,163
3/1/24,15,Dino-Soarin,The Lost World,22.916666666666668,117
3/1/24,15,Enchanted Airways,Far Far Away,10.833333333333334,501
3/1/24,15,Jurassic Park Rapids Adventure,The Lost World,27.5,120
3/1/24,15,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,353
3/1/24,15,Magic Potion Spin,Far Far Away,5,37
3/1/24,15,Puss In Boots’ Giant Journey,Far Far Away,44.166666666666664,980
3/1/24,15,Revenge of the Mummy,Ancient Egypt,7.916666666666667,96
3/1/24,15,Sesame Street Spaghetti Space Chase,New York,5,47
3/1/24,15,Shrek 4-D Adventure,Far Far Away,20,441
3/1/24,15,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,10,106
3/1/24,15,Treasure Hunters,Ancient Egypt,30,350
3/1/24,16,Accelerator,Sci-Fi City,5,22
3/1/24,16,Battlestar Galactica: CYLON,Sci-Fi City,19.166666666666668,223
3/1/24,16,Battlestar Galactica: HUMAN,Sci-Fi City,15,610
3/1/24,16,Canopy Flyer,The Lost World,38.333333333333336,564
3/1/24,16,Dino-Soarin,The Lost World,20,221
3/1/24,16,Enchanted Airways,Far Far Away,13.333333333333334,459
3/1/24,16,Jurassic Park Rapids Adventure,The Lost World,10,76
3/1/24,16,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,347
3/1/24,16,Magic Potion Spin,Far Far Away,5,48
3/1/24,16,Puss In Boots’ Giant Journey,Far Far Away,52.083333333333336,657
